Model,RMSE,R2,Training Time,Prediction Time,Topsis Score,Rank
Linear Regression,61.74497672248122,0.7151681484295443,0.002981424331665,0.0016160011291503,0.6076175685313122,4
Decision Tree,33.4140949189132,0.9165848962104508,0.0074315071105957,0.0026233196258544,0.8678784625177955,2
Random Forest,22.843901123022363,0.9610124599421724,0.5237500667572021,0.0193958282470703,0.5490195093002108,5
Gradient Boosting,23.12248388598484,0.9600557508919956,0.2197082042694091,0.0028507709503173,0.8098568305481539,3
SVR,87.92121831164987,0.4224724778819638,0.0584433078765869,0.0147511959075927,0.3515051914503058,6
KNN,21.110170482963984,0.9667057856037854,0.0022408962249755,0.0027847290039062,0.9750529063158578,1
