Model,RMSE,R2,Training Time,Prediction Time
Linear Regression,61.74497672248122,0.7151681484295443,0.002981424331665039,0.0016160011291503906
Decision Tree,33.4140949189132,0.9165848962104508,0.007431507110595703,0.002623319625854492
Random Forest,22.843901123022363,0.9610124599421725,0.5237500667572021,0.019395828247070312
Gradient Boosting,23.12248388598484,0.9600557508919956,0.21970820426940918,0.002850770950317383
SVR,87.92121831164987,0.42247247788196385,0.058443307876586914,0.014751195907592773
KNN,21.110170482963984,0.9667057856037854,0.002240896224975586,0.00278472900390625
